
#################################################################
# Summary Statistics
#################################################################

DIC = 4991.904

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.OO_2017.Ripening.Rice_herb     0.630 0.112 0.394 0.441 0.557 0.633 0.707 0.808
p.OO_2017.Ripening.Tour_herb     0.048 0.036 0.006 0.008 0.022 0.039 0.064 0.121
p.SC1_2018.Tillering.Detritivore 0.223 0.129 0.048 0.066 0.132 0.201 0.280 0.473
p.SC1_2018.Tillering.Rice_herb   0.454 0.135 0.145 0.209 0.372 0.464 0.544 0.658
p.SC1_2018.Tillering.Tour_herb   0.324 0.120 0.107 0.135 0.240 0.320 0.397 0.528
p.SC1_2018.Flowering.Detritivore 0.025 0.032 0.003 0.004 0.009 0.017 0.028 0.074
p.SC1_2018.Flowering.Rice_herb   0.899 0.073 0.700 0.763 0.878 0.918 0.944 0.969
p.SC1_2018.Flowering.Tour_herb   0.075 0.057 0.013 0.019 0.039 0.061 0.094 0.174
p.SC1_2019.Tillering.Detritivore 0.679 0.095 0.495 0.521 0.613 0.679 0.745 0.838
p.SC1_2019.Tillering.Rice_herb   0.174 0.071 0.058 0.070 0.119 0.166 0.221 0.304
p.SC1_2019.Tillering.Tour_herb   0.147 0.068 0.031 0.046 0.097 0.143 0.190 0.271
p.SC1_2019.Flowering.Detritivore 0.155 0.078 0.047 0.057 0.099 0.140 0.198 0.302
p.SC1_2019.Flowering.Rice_herb   0.771 0.096 0.550 0.590 0.714 0.786 0.844 0.900
p.SC1_2019.Flowering.Tour_herb   0.073 0.047 0.012 0.018 0.040 0.063 0.095 0.162
p.SC1_2019.Ripening.Detritivore  0.214 0.106 0.055 0.070 0.134 0.198 0.275 0.413
p.SC1_2019.Ripening.Rice_herb    0.742 0.113 0.482 0.527 0.674 0.759 0.831 0.895
p.SC1_2019.Ripening.Tour_herb    0.044 0.033 0.007 0.009 0.021 0.035 0.058 0.109
p.SO1_2018.Tillering.Detritivore 0.767 0.076 0.609 0.637 0.718 0.771 0.822 0.883
p.SO1_2018.Tillering.Rice_herb   0.157 0.060 0.061 0.071 0.114 0.150 0.194 0.267
p.SO1_2018.Tillering.Tour_herb   0.076 0.047 0.012 0.016 0.040 0.067 0.102 0.165
p.SO1_2018.Flowering.Detritivore 0.185 0.076 0.068 0.080 0.131 0.176 0.229 0.320
p.SO1_2018.Flowering.Rice_herb   0.774 0.083 0.597 0.629 0.725 0.783 0.833 0.893
p.SO1_2018.Flowering.Tour_herb   0.040 0.030 0.005 0.007 0.019 0.033 0.054 0.100
p.SO1_2019.Tillering.Detritivore 0.675 0.116 0.439 0.474 0.597 0.680 0.756 0.855
p.SO1_2019.Tillering.Rice_herb   0.191 0.085 0.060 0.074 0.127 0.180 0.242 0.353
p.SO1_2019.Tillering.Tour_herb   0.135 0.084 0.020 0.029 0.073 0.119 0.179 0.291
p.SO1_2019.Ripening.Detritivore  0.202 0.102 0.048 0.062 0.127 0.185 0.259 0.396
p.SO1_2019.Ripening.Rice_herb    0.761 0.107 0.519 0.559 0.698 0.776 0.840 0.911
p.SO1_2019.Ripening.Tour_herb    0.037 0.031 0.004 0.005 0.016 0.028 0.049 0.101
                                 97.5%
Epsilon.1                        0.230
Epsilon.2                        0.400
p.GC_2017.Tillering.Detritivore  0.585
