"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice_herb",-30.3635776952683,5.4680269382825,58.6615899089663,6.5255275384987,"LC3_2018"
"Rice_herb",-29.0879422157883,2.7942319367732,53.1101060384179,8.88791685668696,"LC3_2018"
"Rice_herb",-27.8218281068062,6.6078428260955,52.8418995810319,8.60114103073524,"MO2_2018"
"Rice_herb",-29.858222055162,6.95798725428357,60.3667522500499,6.53646885753006,"MO1_2018"
"Rice_herb",-30.8579520646846,5.45469930233367,54.8652744941273,7.9066966414877,"MC1_2018"
"Rice_herb",-29.0222214948449,6.70319849765786,45.473323386178,10.4546691428919,"SO1_2018"
"Rice_herb",-27.6541128395542,4.68980509536682,49.6542488929382,11.6860311019633,"SO1_2018"
"Rice_herb",-28.3305149991599,2.9722585505515,52.1979366192672,10.7346422868154,"SC1_2018"
"Rice_herb",-30.24,4.32,55.4227441285538,8.52039555006181,"MC1_2019"
"Rice_herb",-29.77,4.65,53.3194029850746,9.79253731343284,"MC1_2019"
"Rice_herb",-29.4,4.85,52.9122957867584,9.42046431642304,"MC1_2019"
"Rice_herb",-28.74,5.37,51.4036061026352,10.7572815533981,"MC1_2019"
"Rice_herb",-29.54,4.36,52.3105360443623,10.4713493530499,"MC1_2019"
"Rice_herb",-28.22,5.39,48.2614913176711,9.15526046986721,"MO1_2019"
"Rice_herb",-30.14,7.98,54.8558441558442,9.09220779220779,"MO1_2019"
"Rice_herb",-29.91,7.94,55.4274725274725,9.00549450549451,"MO1_2019"
"Rice_herb",-19.24,4.8,50.9259259259259,11.4975845410628,"MO1_2019"
"Rice_herb",-15.85,7.5,49.0701570680628,11.8722513089005,"MO1_2019"
"Rice_herb",-29.15,4.47,53.4046762589928,9.5089928057554,"MC2_2019"
"Rice_herb",-28.85,3.26,52.1382823871907,10.3245997088792,"MC2_2019"
"Rice_herb",-23.36,11.07,48.7146529562982,10.6966580976864,"MO2_2019"
"Rice_herb",-28.33,7.7,55.8045851528384,8.22379912663756,"MO2_2019"
"Rice_herb",-29.48,8.13,55.3634377276038,8.48069919883467,"MO2_2019"
"Rice_herb",-26.46,7.71,51.1477832512315,11.0525451559934,"MO2_2019"
