"Sample.ID","Family","d13C","C.amount_ug","d15N","N.amount_ug","Total.amount_mg","Farmtype","Landscape","Stage","Farm.ID","Date"
"20180629ARALO3","ARA",-26.244881808873,620.316896796454,9.3394032512856,162.381944226793,"1.335","Or","Land","Ripening","LO3","20180629"
"20180629SCILO3","SCI",-27.7284820949627,569.358081489368,6.0411419269468,103.32931369298,"1.083","Or","Land","Ripening","LO3","20180629"
"20180629ARALO3","ARA",-27.64816064655,500.914672668928,8.16903549985126,114.921394916096,"1.03","Or","Land","Ripening","LO3","20180629"
"20180629MUSLO3","MUS",-26.4443051340579,513.342280983443,8.97405793223247,124.933296257558,"1.126","Or","Land","Ripening","LO3","20180629"
"20180629COCLO3","COC",-29.7237246386379,896.993421172997,6.49348813504734,110.289690802682,"1.56","Or","Land","Ripening","LO3","20180629"
"20180629CICLO3","CIC",-28.8719166754842,690.194948161681,4.97704067208402,121.086363769293,"1.258","Or","Land","Ripening","LO3","20180629"
"20180629CICLC1","CIC",-28.065014683188,728.883179174955,2.50611388015979,135.679445225233,"1.386","Cv","Land","Ripening","LC1","20180629"
"20180629COCLC1","COC",-29.5721344292046,628.648418520109,6.85394502388584,63.2829868206708,"1.032","Cv","Land","Ripening","LC1","20180629"
"20180629SCILC1","SCI",-27.8125281730423,568.319390221918,6.43067186108778,80.7967750401131,"1.119","Cv","Land","Ripening","LC1","20180629"
"20180629COCLC1","COC",-28.9737735053842,738.304466078553,6.65395678553678,88.5846602402296,"1.255","Cv","Land","Ripening","LC1","20180629"
"20180629PENLC1","PEN",-29.1848043134992,570.396824139025,2.76450281514357,104.877393740722,"1.071","Cv","Land","Ripening","LC1","20180629"
"20180629CICLC1","CIC",-28.6323517685755,604.70415699509,3.28646022158965,122.625706584136,"1.206","Cv","Land","Ripening","LC1","20180629"
"20180629COCLC1","COC",-29.3337438568379,668.268054755274,5.83860010043733,76.6614947730104,"1.108","Cv","Land","Ripening","LC1","20180629"
"20180629CICLC1","CIC",-28.2573500491489,589.102978190014,3.21185862860005,114.921394916096,"1.129","Cv","Land","Ripening","LC1","20180629"
"20180629CICLC2","CIC",-28.6541315545184,611.988663533966,4.63304521493485,115.692680812205,"1.166","Cv","Land","Ripening","LC2","20180629"
"20180629DELLC2","DEL",-29.484083687713,679.750744327791,6.43529369624381,103.32931369298,"1.23","Cv","Land","Ripening","LC2","20180629"
"20180629COCLC2","COC",-29.0887783632132,554.821079525784,7.65822209735706,55.7479028234786,"0.906","Cv","Land","Ripening","LC2","20180629"
"20180629CICLC2","CIC",-28.2627821532676,575.591308120391,4.89687450214213,103.32931369298,"1.062","Cv","Land","Ripening","LC2","20180629"
"20180629PENLC3","PEN",-29.8847963248936,582.865743746945,5.25966378172132,121.086363769293,"1.195","Cv","Land","Ripening","LC3","20180629"
"20180629COCLC3","COC",-29.931421400939,987.896197219129,5.62846129888489,101.780473885856,"1.637","Cv","Land","Ripening","LC3","20180629"
"20180629CICLC3","CIC",-28.3381747173395,643.236494396186,3.18546990675876,106.424714029082,"1.17","Cv","Land","Ripening","LC3","20180629"
"20180629CICLC3","CIC",-28.8239519607663,599.502479504921,2.8761030632718,105.651148854825,"1.117","Cv","Land","Ripening","LC3","20180629"
"20180629PENLC3","PEN",-30.3635776952683,622.399468934133,5.4680269382825,69.2358471834712,"1.061","Cv","Land","Ripening","LC3","20180629"
"20180629CICLC3","CIC",-29.0879422157883,594.302086569896,2.7942319367732,99.4557896263271,"1.119","Cv","Land","Ripening","LC3","20180629"
"20180629DELMO2","DEL",-27.8218281068062,553.783107609214,6.6078428260955,90.1399580021053,"1.048","Or","Mount","Ripening","MO2","20180629"
"20180629PENMO1","PEN",-29.858222055162,990.014736900818,6.95798725428357,107.198089263493,"1.64","Or","Mount","Ripening","MO1","20180629"
"20180629PENMC1","PEN",-30.8579520646846,657.834641184586,5.45469930233367,94.8012927314375,"1.199","Cv","Mount","Ripening","MC1","20180629"
"20180629COCSO1","COC",-28.7943181726844,634.89921786549,9.97310333072508,101.780473885856,"1.316","Or","Sea","Ripening","SO1","20180629"
"20180629PENSO1","PEN",-29.0222214948449,543.406214464827,6.70319849765786,124.933296257558,"1.195","Or","Sea","Ripening","SO1","20180629"
"20180629MUSSO1","MUS",-21.935730854484,602.623331852405,11.6749305090448,134.146560365141,"1.373","Or","Sea","Ripening","SO1","20180629"
"20180629CICSO1","CIC",-27.6541128395542,386.310056387059,4.68980509536682,90.9173219732748,"0.778","Or","Sea","Ripening","SO1","20180629"
"20180629COCSO1","COC",-29.1180328980585,710.05309124375,8.09488421686913,101.780473885856,"1.237","Or","Sea","Ripening","SO1","20180629"
"20180629SCISO1","SCI",-26.7113357598871,607.82578007566,8.82196411241205,147.151864345603,"1.268","Or","Sea","Ripening","SO1","20180629"
"20180629COCSC1","COC",-28.0710439304706,641.151866970278,7.83991742480659,83.1351349685272,"1.109","Cv","Sea","Ripening","SC1","20180629"
"20180629LYGSC1","LYG",-28.3305149991599,547.556355136113,2.9722585505515,112.606397588694,"1.049","Cv","Sea","Ripening","SC1","20180629"
"20180629COCSC1","COC",-28.8820303171361,733.069903976719,6.64611988241212,87.8067264495233,"1.234","Cv","Sea","Ripening","SC1","20180629"
