
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.SC1_2018.Tillering.Rice_herb   0.788 0.222 0.191 0.313 0.675 0.869 0.965
p.SC1_2018.Tillering.Tour_herb   0.080 0.156 0.000 0.000 0.004 0.017 0.078
p.SC1_2018.Flowering.Detritivore 0.091 0.112 0.001 0.001 0.011 0.045 0.130
p.SC1_2018.Flowering.Rice_herb   0.834 0.168 0.384 0.505 0.759 0.885 0.961
p.SC1_2018.Flowering.Tour_herb   0.075 0.127 0.000 0.001 0.006 0.024 0.087
p.SC1_2018.Ripening.Detritivore  0.028 0.043 0.000 0.000 0.003 0.010 0.033
p.SC1_2018.Ripening.Rice_herb    0.930 0.136 0.523 0.755 0.928 0.974 0.991
p.SC1_2018.Ripening.Tour_herb    0.042 0.126 0.000 0.000 0.001 0.006 0.024
p.SC1_2019.Flowering.Detritivore 0.047 0.068 0.000 0.001 0.007 0.020 0.057
p.SC1_2019.Flowering.Rice_herb   0.892 0.161 0.297 0.619 0.876 0.947 0.979
p.SC1_2019.Flowering.Tour_herb   0.061 0.145 0.000 0.000 0.004 0.014 0.046
p.SO1_2018.Tillering.Detritivore 0.079 0.172 0.000 0.000 0.005 0.020 0.057
p.SO1_2018.Tillering.Rice_herb   0.865 0.235 0.064 0.197 0.894 0.955 0.983
p.SO1_2018.Tillering.Tour_herb   0.056 0.167 0.000 0.000 0.002 0.009 0.031
p.SO1_2018.Ripening.Detritivore  0.017 0.044 0.000 0.000 0.001 0.004 0.012
p.SO1_2018.Ripening.Rice_herb    0.948 0.148 0.395 0.797 0.970 0.989 0.996
p.SO1_2018.Ripening.Tour_herb    0.035 0.140 0.000 0.000 0.001 0.003 0.011
p.SO1_2019.Flowering.Detritivore 0.060 0.079 0.000 0.001 0.008 0.028 0.082
p.SO1_2019.Flowering.Rice_herb   0.875 0.155 0.432 0.591 0.831 0.929 0.974
p.SO1_2019.Flowering.Tour_herb   0.065 0.133 0.000 0.000 0.004 0.018 0.061
p.SO1_2019.Ripening.Detritivore  0.019 0.035 0.000 0.000 0.002 0.006 0.020
p.SO1_2019.Ripening.Rice_herb    0.943 0.139 0.546 0.799 0.953 0.982 0.995
p.SO1_2019.Ripening.Tour_herb    0.038 0.132 0.000 0.000 0.001 0.004 0.018
                                   95% 97.5%
Epsilon.1                        0.838 0.901
Epsilon.2                        1.181 1.259
p.GC_2017.Flowering.Detritivore  0.125 0.151
p.GC_2017.Flowering.Rice_herb    0.986 0.991
p.GC_2017.Flowering.Tour_herb    0.180 0.498
p.GC_2017.Ripening.Detritivore   0.040 0.049
p.GC_2017.Ripening.Rice_herb     0.998 0.998
p.GC_2017.Ripening.Tour_herb     0.067 0.472
p.GO_2017.Ripening.Detritivore   0.077 0.110
p.GO_2017.Ripening.Rice_herb     0.999 0.999
p.GO_2017.Ripening.Tour_herb     0.117 0.518
p.LC1_2018.Tillering.Detritivore 0.294 0.389
p.LC1_2018.Tillering.Rice_herb   0.997 0.998
p.LC1_2018.Tillering.Tour_herb   0.331 0.671
p.LC1_2018.Ripening.Detritivore  0.057 0.083
p.LC1_2018.Ripening.Rice_herb    0.999 0.999
p.LC1_2018.Ripening.Tour_herb    0.108 0.476
p.LC1_2019.Tillering.Detritivore 0.348 0.472
p.LC1_2019.Tillering.Rice_herb   0.997 0.998
p.LC1_2019.Tillering.Tour_herb   0.360 0.716
p.LC1_2019.Flowering.Detritivore 0.200 0.264
p.LC1_2019.Flowering.Rice_herb   0.995 0.997
p.LC1_2019.Flowering.Tour_herb   0.293 0.502
p.LC1_2019.Ripening.Detritivore  0.060 0.083
p.LC1_2019.Ripening.Rice_herb    0.999 0.999
p.LC1_2019.Ripening.Tour_herb    0.103 0.611
p.LC2_2018.Ripening.Detritivore  0.103 0.152
p.LC2_2018.Ripening.Rice_herb    0.999 0.999
p.LC2_2018.Ripening.Tour_herb    0.154 0.501
p.LC2_2019.Tillering.Detritivore 0.463 0.575
p.LC2_2019.Tillering.Rice_herb   0.997 0.999
p.LC2_2019.Tillering.Tour_herb   0.338 0.814
p.LC2_2019.Flowering.Detritivore 0.257 0.346
p.LC2_2019.Flowering.Rice_herb   0.995 0.997
p.LC2_2019.Flowering.Tour_herb   0.279 0.588
p.LC3_2018.Tillering.Detritivore 0.330 0.405
p.LC3_2018.Tillering.Rice_herb   0.997 0.998
p.LC3_2018.Tillering.Tour_herb   0.320 0.604
p.LC3_2018.Flowering.Detritivore 0.194 0.253
p.LC3_2018.Flowering.Rice_herb   0.994 0.997
p.LC3_2018.Flowering.Tour_herb   0.261 0.510
p.LC3_2018.Ripening.Detritivore  0.060 0.087
p.LC3_2018.Ripening.Rice_herb    0.999 0.999
p.LC3_2018.Ripening.Tour_herb    0.116 0.588
p.LC3_2019.Flowering.Detritivore 0.215 0.286
p.LC3_2019.Flowering.Rice_herb   0.995 0.997
p.LC3_2019.Flowering.Tour_herb   0.273 0.577
p.LC3_2019.Ripening.Detritivore  0.071 0.099
p.LC3_2019.Ripening.Rice_herb    0.999 0.999
p.LC3_2019.Ripening.Tour_herb    0.117 0.473
p.LO1_2018.Tillering.Detritivore 0.462 0.543
p.LO1_2018.Tillering.Rice_herb   0.996 0.998
p.LO1_2018.Tillering.Tour_herb   0.429 0.589
p.LO1_2018.Flowering.Detritivore 0.330 0.411
p.LO1_2018.Flowering.Rice_herb   0.992 0.995
p.LO1_2018.Flowering.Tour_herb   0.392 0.578
p.LO1_2018.Ripening.Detritivore  0.107 0.154
p.LO1_2018.Ripening.Rice_herb    0.998 0.999
p.LO1_2018.Ripening.Tour_herb    0.233 0.611
p.LO1_2019.Ripening.Detritivore  0.088 0.122
p.LO1_2019.Ripening.Rice_herb    0.999 0.999
p.LO1_2019.Ripening.Tour_herb    0.158 0.500
p.LO2_2018.Tillering.Detritivore 0.486 0.591
p.LO2_2018.Tillering.Rice_herb   0.997 0.998
p.LO2_2018.Tillering.Tour_herb   0.397 0.782
p.LO2_2018.Ripening.Detritivore  0.091 0.136
p.LO2_2018.Ripening.Rice_herb    0.999 0.999
p.LO2_2018.Ripening.Tour_herb    0.137 0.461
p.LO3_2018.Tillering.Detritivore 0.434 0.524
p.LO3_2018.Tillering.Rice_herb   0.996 0.998
p.LO3_2018.Tillering.Tour_herb   0.308 0.681
p.LO3_2018.Ripening.Detritivore  0.086 0.116
p.LO3_2018.Ripening.Rice_herb    0.999 0.999
p.LO3_2018.Ripening.Tour_herb    0.099 0.533
p.LO3_2019.Tillering.Detritivore 0.128 0.493
p.LO3_2019.Tillering.Rice_herb   0.997 0.999
p.LO3_2019.Tillering.Tour_herb   0.142 0.891
p.LO3_2019.Ripening.Detritivore  0.030 0.049
p.LO3_2019.Ripening.Rice_herb    0.999 1.000
p.LO3_2019.Ripening.Tour_herb    0.063 0.740
p.MC_2017.Tillering.Detritivore  0.492 0.605
p.MC_2017.Tillering.Rice_herb    0.997 0.998
p.MC_2017.Tillering.Tour_herb    0.422 0.657
p.MC1_2018.Tillering.Detritivore 0.456 0.596
p.MC1_2018.Tillering.Rice_herb   0.997 0.998
p.MC1_2018.Tillering.Tour_herb   0.357 0.767
p.MC2_2018.Ripening.Detritivore  0.114 0.169
p.MC2_2018.Ripening.Rice_herb    0.999 0.999
p.MC2_2018.Ripening.Tour_herb    0.173 0.465
p.MC2_2019.Flowering.Detritivore 0.104 0.137
p.MC2_2019.Flowering.Rice_herb   0.996 0.997
p.MC2_2019.Flowering.Tour_herb   0.146 0.708
p.MC3_2019.Flowering.Detritivore 0.203 0.265
p.MC3_2019.Flowering.Rice_herb   0.995 0.997
p.MC3_2019.Flowering.Tour_herb   0.346 0.581
p.MC3_2019.Ripening.Detritivore  0.067 0.100
p.MC3_2019.Ripening.Rice_herb    0.999 0.999
p.MC3_2019.Ripening.Tour_herb    0.149 0.466
p.MO_2017.Tillering.Detritivore  0.578 0.656
p.MO_2017.Tillering.Rice_herb    0.995 0.998
p.MO_2017.Tillering.Tour_herb    0.435 0.622
p.MO_2017.Flowering.Detritivore  0.417 0.484
p.MO_2017.Flowering.Rice_herb    0.992 0.996
p.MO_2017.Flowering.Tour_herb    0.384 0.530
p.MO_2017.Ripening.Detritivore   0.160 0.222
p.MO_2017.Ripening.Rice_herb     0.998 0.999
p.MO_2017.Ripening.Tour_herb     0.178 0.442
p.MO1_2018.Ripening.Detritivore  0.102 0.163
p.MO1_2018.Ripening.Rice_herb    0.999 0.999
p.MO1_2018.Ripening.Tour_herb    0.168 0.486
p.MO1_2019.Ripening.Detritivore  0.163 0.307
p.MO1_2019.Ripening.Rice_herb    0.999 0.999
p.MO1_2019.Ripening.Tour_herb    0.183 0.488
p.MO2_2018.Tillering.Detritivore 0.476 0.609
p.MO2_2018.Tillering.Rice_herb   0.996 0.998
p.MO2_2018.Tillering.Tour_herb   0.467 0.719
p.MO2_2018.Flowering.Detritivore 0.301 0.389
p.MO2_2018.Flowering.Rice_herb   0.994 0.997
p.MO2_2018.Flowering.Tour_herb   0.393 0.598
p.MO2_2019.Tillering.Detritivore 0.138 0.185
p.MO2_2019.Tillering.Rice_herb   0.997 0.998
p.MO2_2019.Tillering.Tour_herb   0.784 0.917
p.MO2_2019.Flowering.Detritivore 0.108 0.149
p.MO2_2019.Flowering.Rice_herb   0.996 0.998
p.MO2_2019.Flowering.Tour_herb   0.474 0.820
p.MO3_2018.Tillering.Detritivore 0.578 0.697
p.MO3_2018.Tillering.Rice_herb   0.995 0.998
p.MO3_2018.Tillering.Tour_herb   0.540 0.750
p.MO3_2018.Flowering.Detritivore 0.389 0.506
p.MO3_2018.Flowering.Rice_herb   0.993 0.996
p.MO3_2018.Flowering.Tour_herb   0.458 0.617
p.MO3_2019.Tillering.Detritivore 0.521 0.625
