
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.SC1_2019.Flowering.Detritivore 0.052 0.048 0.007 0.009 0.021 0.038 0.067
p.SC1_2019.Flowering.Rice_herb   0.882 0.071 0.703 0.745 0.852 0.899 0.931
p.SC1_2019.Flowering.Tour_herb   0.066 0.046 0.011 0.014 0.033 0.054 0.087
p.SC1_2019.Ripening.Detritivore  0.025 0.034 0.001 0.002 0.006 0.014 0.030
p.SC1_2019.Ripening.Rice_herb    0.933 0.051 0.798 0.838 0.914 0.947 0.967
p.SC1_2019.Ripening.Tour_herb    0.041 0.032 0.005 0.007 0.019 0.033 0.054
p.SO1_2018.Tillering.Detritivore 0.782 0.091 0.581 0.617 0.726 0.793 0.849
p.SO1_2018.Tillering.Rice_herb   0.162 0.077 0.046 0.055 0.104 0.150 0.208
p.SO1_2018.Tillering.Tour_herb   0.056 0.039 0.007 0.011 0.027 0.047 0.075
p.SO1_2018.Flowering.Detritivore 0.079 0.055 0.013 0.017 0.040 0.065 0.107
p.SO1_2018.Flowering.Rice_herb   0.869 0.069 0.707 0.739 0.829 0.882 0.922
p.SO1_2018.Flowering.Tour_herb   0.051 0.037 0.007 0.010 0.024 0.042 0.069
p.SO1_2019.Tillering.Detritivore 0.698 0.145 0.391 0.442 0.604 0.710 0.805
p.SO1_2019.Tillering.Rice_herb   0.202 0.116 0.036 0.047 0.111 0.185 0.270
p.SO1_2019.Tillering.Tour_herb   0.101 0.074 0.012 0.017 0.046 0.085 0.136
p.SO1_2019.Ripening.Detritivore  0.032 0.041 0.001 0.002 0.007 0.018 0.040
p.SO1_2019.Ripening.Rice_herb    0.917 0.066 0.747 0.789 0.892 0.936 0.962
p.SO1_2019.Ripening.Tour_herb    0.050 0.047 0.005 0.007 0.019 0.037 0.065
                                   95% 97.5%
Epsilon.1                        0.179 0.186
Epsilon.2                        0.418 0.433
p.GC_2017.Tillering.Detritivore  0.633 0.685
p.GC_2017.Tillering.Rice_herb    0.339 0.356
p.GC_2017.Tillering.Tour_herb    0.397 0.417
p.GC_2017.Flowering.Detritivore  0.062 0.071
p.GC_2017.Flowering.Rice_herb    0.906 0.916
p.GC_2017.Flowering.Tour_herb    0.227 0.247
p.GC_2017.Ripening.Detritivore   0.038 0.048
p.GC_2017.Ripening.Rice_herb     0.953 0.961
p.GC_2017.Ripening.Tour_herb     0.155 0.177
p.GO_2017.Tillering.Detritivore  0.567 0.662
p.GO_2017.Tillering.Rice_herb    0.668 0.710
p.GO_2017.Tillering.Tour_herb    0.455 0.486
p.GO_2017.Flowering.Detritivore  0.030 0.040
p.GO_2017.Flowering.Rice_herb    0.962 0.969
p.GO_2017.Flowering.Tour_herb    0.156 0.172
p.GO_2017.Ripening.Detritivore   0.016 0.023
p.GO_2017.Ripening.Rice_herb     0.982 0.986
p.GO_2017.Ripening.Tour_herb     0.105 0.122
p.LC1_2018.Tillering.Detritivore 0.926 0.953
p.LC1_2018.Tillering.Rice_herb   0.326 0.373
p.LC1_2018.Tillering.Tour_herb   0.535 0.607
p.LC1_2018.Flowering.Detritivore 0.432 0.521
p.LC1_2018.Flowering.Rice_herb   0.906 0.927
p.LC1_2018.Flowering.Tour_herb   0.615 0.684
p.LC1_2019.Tillering.Detritivore 0.394 0.448
p.LC1_2019.Tillering.Rice_herb   0.633 0.655
p.LC1_2019.Tillering.Tour_herb   0.413 0.440
p.LC1_2019.Flowering.Detritivore 0.018 0.024
p.LC1_2019.Flowering.Rice_herb   0.959 0.965
p.LC1_2019.Flowering.Tour_herb   0.156 0.173
p.LC1_2019.Ripening.Detritivore  0.010 0.014
p.LC1_2019.Ripening.Rice_herb    0.979 0.982
p.LC1_2019.Ripening.Tour_herb    0.101 0.116
p.LC2_2018.Tillering.Detritivore 0.840 0.884
p.LC2_2018.Tillering.Rice_herb   0.588 0.650
p.LC2_2018.Tillering.Tour_herb   0.452 0.541
p.LC2_2019.Tillering.Detritivore 0.622 0.670
p.LC2_2019.Tillering.Rice_herb   0.623 0.657
