
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.SC1_2018.Flowering.Tour_herb   0.091 0.078 0.006 0.009 0.034 0.070 0.127
p.SC1_2018.Ripening.Detritivore  0.007 0.014 0.000 0.000 0.001 0.003 0.008
p.SC1_2018.Ripening.Rice_herb    0.948 0.046 0.819 0.851 0.932 0.963 0.980
p.SC1_2018.Ripening.Tour_herb    0.045 0.043 0.003 0.004 0.015 0.031 0.060
p.SC1_2019.Tillering.Detritivore 0.627 0.124 0.384 0.426 0.543 0.626 0.710
p.SC1_2019.Tillering.Rice_herb   0.260 0.099 0.079 0.100 0.189 0.258 0.326
p.SC1_2019.Tillering.Tour_herb   0.113 0.084 0.008 0.013 0.048 0.095 0.159
p.SC1_2019.Flowering.Detritivore 0.043 0.034 0.007 0.009 0.020 0.032 0.055
p.SC1_2019.Flowering.Rice_herb   0.883 0.076 0.676 0.729 0.849 0.902 0.938
p.SC1_2019.Flowering.Tour_herb   0.074 0.065 0.006 0.009 0.028 0.055 0.099
p.SC1_2019.Ripening.Detritivore  0.013 0.018 0.001 0.001 0.003 0.007 0.016
p.SC1_2019.Ripening.Rice_herb    0.949 0.047 0.820 0.858 0.935 0.963 0.979
p.SC1_2019.Ripening.Tour_herb    0.038 0.041 0.003 0.004 0.013 0.025 0.048
p.SO1_2018.Tillering.Detritivore 0.838 0.082 0.651 0.683 0.788 0.850 0.899
p.SO1_2018.Tillering.Rice_herb   0.121 0.069 0.027 0.033 0.069 0.108 0.160
p.SO1_2018.Tillering.Tour_herb   0.041 0.035 0.004 0.005 0.016 0.032 0.056
p.SO1_2018.Flowering.Detritivore 0.120 0.080 0.021 0.029 0.062 0.101 0.158
p.SO1_2018.Flowering.Rice_herb   0.822 0.097 0.586 0.635 0.770 0.840 0.895
p.SO1_2018.Flowering.Tour_herb   0.058 0.052 0.005 0.007 0.022 0.042 0.078
p.SO1_2018.Ripening.Detritivore  0.038 0.042 0.002 0.003 0.011 0.024 0.050
p.SO1_2018.Ripening.Rice_herb    0.932 0.054 0.793 0.827 0.910 0.947 0.970
p.SO1_2018.Ripening.Tour_herb    0.030 0.030 0.002 0.003 0.010 0.020 0.039
p.SO1_2019.Tillering.Detritivore 0.667 0.165 0.301 0.370 0.569 0.687 0.793
p.SO1_2019.Tillering.Rice_herb   0.232 0.129 0.051 0.064 0.134 0.211 0.304
p.SO1_2019.Tillering.Tour_herb   0.100 0.096 0.006 0.010 0.033 0.072 0.138
p.SO1_2019.Flowering.Detritivore 0.059 0.053 0.006 0.009 0.022 0.043 0.078
p.SO1_2019.Flowering.Rice_herb   0.869 0.088 0.654 0.700 0.825 0.888 0.932
p.SO1_2019.Flowering.Tour_herb   0.073 0.067 0.005 0.008 0.025 0.053 0.098
p.SO1_2019.Ripening.Detritivore  0.018 0.025 0.001 0.001 0.004 0.009 0.021
p.SO1_2019.Ripening.Rice_herb    0.946 0.047 0.827 0.853 0.928 0.959 0.978
