
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MC3_2019.Flowering.Detritivore 0.040 0.029 0.006 0.008 0.019 0.032 0.052 0.099
p.MC3_2019.Flowering.Rice_herb   0.783 0.112 0.516 0.571 0.717 0.803 0.869 0.931
p.MC3_2019.Flowering.Tour_herb   0.177 0.109 0.026 0.039 0.095 0.158 0.239 0.385
p.MC3_2019.Ripening.Detritivore  0.043 0.032 0.004 0.007 0.021 0.035 0.058 0.105
p.MC3_2019.Ripening.Rice_herb    0.863 0.069 0.702 0.737 0.823 0.875 0.913 0.954
p.MC3_2019.Ripening.Tour_herb    0.094 0.061 0.015 0.021 0.049 0.081 0.126 0.207
p.MO_2017.Tillering.Detritivore  0.458 0.183 0.099 0.141 0.329 0.464 0.589 0.759
p.MO_2017.Tillering.Rice_herb    0.216 0.125 0.041 0.053 0.118 0.193 0.292 0.452
p.MO_2017.Tillering.Tour_herb    0.326 0.213 0.031 0.047 0.156 0.282 0.468 0.739
p.MO_2017.Flowering.Detritivore  0.094 0.062 0.013 0.018 0.048 0.081 0.127 0.216
p.MO_2017.Flowering.Rice_herb    0.706 0.180 0.296 0.351 0.597 0.746 0.844 0.931
p.MO_2017.Flowering.Tour_herb    0.200 0.184 0.008 0.012 0.051 0.131 0.314 0.582
p.MO_2017.Ripening.Detritivore   0.105 0.069 0.012 0.018 0.052 0.091 0.145 0.237
p.MO_2017.Ripening.Rice_herb     0.786 0.120 0.509 0.558 0.717 0.805 0.875 0.946
p.MO_2017.Ripening.Tour_herb     0.109 0.109 0.005 0.008 0.029 0.072 0.151 0.346
p.MO1_2018.Tillering.Detritivore 0.653 0.251 0.104 0.162 0.471 0.721 0.865 0.946
p.MO1_2018.Tillering.Rice_herb   0.133 0.136 0.012 0.017 0.043 0.082 0.168 0.444
p.MO1_2018.Tillering.Tour_herb   0.214 0.211 0.009 0.014 0.056 0.140 0.304 0.688
p.MO1_2018.Flowering.Detritivore 0.267 0.195 0.011 0.017 0.083 0.252 0.421 0.607
p.MO1_2018.Flowering.Rice_herb   0.569 0.211 0.200 0.241 0.411 0.549 0.736 0.926
p.MO1_2018.Flowering.Tour_herb   0.163 0.171 0.007 0.011 0.044 0.101 0.218 0.558
p.MO1_2018.Ripening.Detritivore  0.272 0.198 0.015 0.023 0.101 0.241 0.405 0.656
p.MO1_2018.Ripening.Rice_herb    0.637 0.197 0.211 0.284 0.503 0.649 0.787 0.938
p.MO1_2018.Ripening.Tour_herb    0.091 0.105 0.004 0.006 0.023 0.055 0.116 0.313
p.MO1_2019.Tillering.Detritivore 0.763 0.143 0.416 0.498 0.682 0.792 0.871 0.939
p.MO1_2019.Tillering.Rice_herb   0.097 0.068 0.022 0.028 0.054 0.079 0.119 0.225
p.MO1_2019.Tillering.Tour_herb   0.140 0.111 0.010 0.014 0.052 0.115 0.199 0.353
p.MO1_2019.Flowering.Detritivore 0.294 0.132 0.059 0.086 0.199 0.289 0.382 0.522
p.MO1_2019.Flowering.Rice_herb   0.587 0.132 0.323 0.367 0.501 0.588 0.674 0.807
p.MO1_2019.Flowering.Tour_herb   0.119 0.093 0.010 0.015 0.049 0.095 0.167 0.298
p.MO1_2019.Ripening.Detritivore  0.311 0.134 0.028 0.054 0.226 0.327 0.404 0.511
