
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LC3_2019.Flowering.Detritivore 0.529
p.LC3_2019.Flowering.Rice_herb   0.977
p.LC3_2019.Flowering.Tour_herb   0.973
p.LC3_2019.Ripening.Detritivore  0.299
p.LC3_2019.Ripening.Rice_herb    0.993
p.LC3_2019.Ripening.Tour_herb    0.992
p.LO1_2018.Tillering.Detritivore 0.781
p.LO1_2018.Tillering.Rice_herb   0.842
p.LO1_2018.Tillering.Tour_herb   0.975
p.LO1_2018.Flowering.Detritivore 0.523
p.LO1_2018.Flowering.Rice_herb   0.947
p.LO1_2018.Flowering.Tour_herb   0.961
p.LO1_2018.Ripening.Detritivore  0.298
p.LO1_2018.Ripening.Rice_herb    0.986
p.LO1_2018.Ripening.Tour_herb    0.986
p.LO1_2019.Ripening.Detritivore  0.334
p.LO1_2019.Ripening.Rice_herb    0.993
p.LO1_2019.Ripening.Tour_herb    0.990
p.LO2_2018.Tillering.Detritivore 0.897
p.LO2_2018.Tillering.Rice_herb   0.910
p.LO2_2018.Tillering.Tour_herb   0.978
p.LO2_2018.Ripening.Detritivore  0.449
p.LO2_2018.Ripening.Rice_herb    0.985
p.LO2_2018.Ripening.Tour_herb    0.991
p.LO3_2018.Tillering.Detritivore 0.847
p.LO3_2018.Tillering.Rice_herb   0.766
p.LO3_2018.Tillering.Tour_herb   0.973
p.LO3_2018.Ripening.Detritivore  0.355
p.LO3_2018.Ripening.Rice_herb    0.973
p.LO3_2018.Ripening.Tour_herb    0.988
p.LO3_2019.Tillering.Detritivore 0.863
p.LO3_2019.Tillering.Rice_herb   0.985
p.LO3_2019.Tillering.Tour_herb   0.990
p.LO3_2019.Ripening.Detritivore  0.215
p.LO3_2019.Ripening.Rice_herb    0.998
p.LO3_2019.Ripening.Tour_herb    0.997
p.MC_2017.Tillering.Detritivore  0.904
p.MC_2017.Tillering.Rice_herb    0.910
p.MC_2017.Tillering.Tour_herb    0.975
p.MC1_2018.Tillering.Detritivore 0.930
p.MC1_2018.Tillering.Rice_herb   0.899
