
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
p.SO1_2018.Tillering.Detritivore 0.098 0.164 0.000 0.001 0.005 0.023 0.100  0.495
p.SO1_2018.Tillering.Predator    0.336 0.199 0.009 0.023 0.184 0.331 0.475  0.675
p.SO1_2018.Tillering.Rice_herb   0.470 0.287 0.009 0.019 0.224 0.489 0.691  0.937
p.SO1_2018.Tillering.Tour_herb   0.097 0.165 0.000 0.000 0.004 0.021 0.094  0.503
p.SO1_2018.Ripening.Detritivore  0.021 0.042 0.000 0.000 0.002 0.006 0.020  0.096
p.SO1_2018.Ripening.Predator     0.718 0.299 0.003 0.008 0.635 0.830 0.935  0.985
p.SO1_2018.Ripening.Rice_herb    0.239 0.299 0.002 0.003 0.029 0.108 0.318  0.978
p.SO1_2018.Ripening.Tour_herb    0.022 0.050 0.000 0.000 0.001 0.006 0.019  0.091
p.SO1_2019.Flowering.Detritivore 0.028 0.045 0.000 0.001 0.004 0.012 0.033  0.112
p.SO1_2019.Flowering.Predator    0.773 0.246 0.033 0.111 0.722 0.861 0.935  0.982
p.SO1_2019.Flowering.Rice_herb   0.169 0.228 0.003 0.006 0.028 0.080 0.193  0.773
p.SO1_2019.Flowering.Tour_herb   0.030 0.052 0.000 0.000 0.003 0.012 0.035  0.120
p.SO1_2019.Ripening.Detritivore  0.010 0.019 0.000 0.000 0.001 0.003 0.010  0.041
p.SO1_2019.Ripening.Predator     0.830 0.286 0.006 0.022 0.862 0.953 0.983  0.996
p.SO1_2019.Ripening.Rice_herb    0.149 0.280 0.000 0.001 0.007 0.029 0.106  0.946
p.SO1_2019.Ripening.Tour_herb    0.011 0.029 0.000 0.000 0.001 0.003 0.010  0.043
                                  97.5%
Epsilon.1                         3.300
Epsilon.2                        11.376
p.GC_2017.Flowering.Detritivore   0.094
p.GC_2017.Flowering.Predator      0.959
p.GC_2017.Flowering.Rice_herb     0.883
p.GC_2017.Flowering.Tour_herb     0.110
p.GC_2017.Ripening.Detritivore    0.036
